R8.5 Name,R9 Name
Log2,(UINT8)HighBitSet64
LONG_TYPE,n/a
NibbleToHexChar,R8_NibbleToHexChar
Power10U64,n/a
PREFIX_BLANK,n/a
PREFIX_SIGN,n/a
DEBUG_SET_MEMORY,DEBUG_CLEAR_MEMORY
EfiDebugAssert,DebugAssert
EfiDebugPrint,DebugPrint
EfiDebugVPrint,DebugVPrint
EFI_D_NET,EFI_D_NET 
EFI_D_GENERIC,(EFI_D_ERROR | EFI_D_INIT | EFI_D_WARN | EFI_D_INFO | EFI_D_BLKIO | EFI_D_NET | EFI_D_UNDI)
EFI_D_INTRINSIC,(EFI_D_EVENT | EFI_D_POOL | EFI_D_PAGE | EFI_D_LOAD | EFI_D_BM | EFI_D_VARIABLE)
EFI_D_RESERVED,((EFI_D_ERROR | EFI_D_INIT | EFI_D_WARN | EFI_D_INFO | EFI_D_BLKIO | EFI_D_NET | EFI_D_UNDI) | (EFI_D_EVENT | EFI_D_POOL | EFI_D_PAGE | EFI_D_LOAD | EFI_D_BM | EFI_D_VARIABLE))
EFI_DBUG_MASK,EFI_D_ERROR
ASPrint,AsciiSPrint
AvSPrint,AsciiVSPrint
DivU64x32,DivU64x32Remainder 
FindFv,n/a
GetNativeCpuIo,n/a
GetTimerValue,n/a
InstallEfiDecompress,n/a
InstallEfiPeiPeCoffLoader,n/a
InstallEfiPeiPeCoffLoader64,n/a
InstallTianoDecompress,n/a
PeiBuildHobModule,BuildModuleHob#
PeiBuildHobResourceDescriptor,BuildResourceDescriptorHob#
PeiBuildHobGuid,R8_PeiBuildHobGuid#
PeiBuildHobGuidData,BuildGuidDataHob#
PeiBuildHobFv,BuildFvHob#
PeiBuildHobCpu,BuildCpuHob#
PeiBuildHobStack,BuildStackHob#
PeiBuildHobBspStore,BuildBspStoreHob#
PeiBuildHobMemoryAllocation,BuildMemoryAllocationHob#
PeiCopyMem,CopyMem
PeiPerfMeasure,n/a
PEI_PERF_END,n/a
PEI_PERF_START,n/a
RegisterNativeCpuIo,n/a
PeiDebugAssert,DebugAssert#
PeiDebugPrint,DebugPrint#
ASSERT_PEI_ERROR,ASSERT_EFI_ERROR#
PEI_ASSERT,ASSERT#
PEI_ASSERT_LOCKED,ASSERT_LOCKED#
PEI_CR,CR
PEI_DEBUG,DEBUG#
PEI_DEBUG_CODE,DEBUG_CODE#
PEI_DEBUG_SET_MEMORY,DEBUG_CLEAR_MEMORY
gEfiAcpiSupportGuid,gEfiAcpiSupportProtocolGuid
